Country,Year,Total Population
Australia,2009,21691700
Australia,2010,22031750
Australia,2011,22340024
Australia,2012,22733465
Australia,2013,23128129
Australia,2014,23475686
Australia,2015,23815995
Australia,2016,24190907
Germany,2009,81902307
Germany,2010,81776930
Germany,2011,80274983
Germany,2012,80425823
Germany,2013,80645605
Germany,2014,80982500
Germany,2015,81686611
Germany,2016,82348669
Spain,2009,46362946
Spain,2010,46576897
Spain,2011,46742697
Spain,2012,46773055
Spain,2013,46620045
Spain,2014,46480882
Spain,2015,46444832
Spain,2016,46483569
France,2009,64707040
France,2010,65027507
France,2011,65342780
France,2012,65659809
France,2013,65998687
France,2014,66316100
France,2015,66593366
France,2016,66859768
Italy,2009,59095365
Italy,2010,59277417
Italy,2011,59379449
Italy,2012,59539717
Italy,2013,60233948
Italy,2014,60789140
Italy,2015,60730582
Italy,2016,60627498
Mexico,2009,112463887
Mexico,2010,114092963
Mexico,2011,115695473
Mexico,2012,117274155
Mexico,2013,118827161
Mexico,2014,120355128
Mexico,2015,121858258
Mexico,2016,123333376
United States,2009,306771529
United States,2010,309326085
United States,2011,311580009
United States,2012,313874218
United States,2013,316057727
United States,2014,318386421
United States,2015,320742673
United States,2016,323071342
