Country,Year,Labor Population
Australia,2009,11493325
Australia,2010,11690165
Australia,2011,11856658
Australia,2012,12017116
Australia,2013,12189841
Australia,2014,12331873
Australia,2015,12564482
Australia,2016,12722249
Germany,2009,41952677
Germany,2010,42014274
Germany,2011,41674901
Germany,2012,41767969
Germany,2013,42161170
Germany,2014,42415215
Germany,2015,42731868
Germany,2016,43182140
Spain,2009,23331133
Spain,2010,23527392
Spain,2011,23558817
Spain,2012,23565348
Spain,2013,23360853
Spain,2014,23142240
Spain,2015,23057305
Spain,2016,23019668
France,2009,29739196
France,2010,29836117
France,2011,29828496
France,2012,30059730
France,2013,30193260
France,2014,30131595
France,2015,30218801
France,2016,30293589
Italy,2009,24496302
Italy,2010,24432021
Italy,2011,24418799
Italy,2012,24940520
Italy,2013,25045316
Italy,2014,25404369
Italy,2015,25344344
Italy,2016,25585208
Mexico,2009,48482135
Mexico,2010,49344235
Mexico,2011,50371763
Mexico,2012,51893358
Mexico,2013,52652690
Mexico,2014,53057168
Mexico,2015,54088799
Mexico,2016,54926772
US,2009,157153235
US,2010,156950122
US,2011,157034338
US,2012,158288096
US,2013,158831064
US,2014,159610790
US,2015,160676107
US,2016,162628720
